"title";"description";"address";"gisx";"gisy";"image";"link"
"Baby Plaza (IKG)";"";"Lakborslei 178, 2100 Deurne";"4.4545781";"51.2271456";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8082639"
"Bavet & Co (IKG)";"";"Vosstraat 43, 2140 Borgerhout";"4.4527091";"51.1973374";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8088547"
"Twinkel (IKG)";"";"Limburgstraat 67, 2020 Antwerpen";"4.3844643";"51.1887473";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8066562"
"\'t Lozana\'tje";"";"Lange Lozanastraat 108, 2018 Antwerpen";"4.4049980";"51.2034319";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8066571"
"Het Engeltje";"";"Maantjessteenweg 81, 2170 Merksem";"4.4414341";"51.2552747";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8079546"
"Heba (IKG)";"";"VIIde-Olympiadelaan 71, 2020 Antwerpen";"4.3860252";"51.1832417";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8045894"
"Vips (IKG)";"";"Moorkensplein 7, 2140 Borgerhout";"4.4336153";"51.2133919";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_kdv_vips.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8058040"
"Kiddybees";"";"Sint Rochusstraat 221, 2100 Deurne";"4.4648537";"51.2007095";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/DSC_4337.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8061178"
"Christelijke Kinderopvang Hoboken (IKG)";"";"Sint-Bernardsesteenweg 503, 2660 Hoboken";"4.3696809";"51.1789493";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039928"
"Het Pimpeloentje 2 (IKG)";"";"Van Erstenstraat 16, 2100 Deurne";"4.4536496";"51.2057595";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8040399"
"Regenbooghandjes (IKG)";"";"Bredabaan 716, 2170 Merksem";"4.4533473";"51.2481618";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_regen4.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8045601"
"\'t Kruipertje";"";"Ringlaan 72, 2610 Wilrijk";"4.4284513";"51.1779337";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039906"
"\'t BabyPaleis";"";"Heistraat 322, 2610 Wilrijk";"4.3915865";"51.1794798";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039917"
"Nou-Nours";"";"Jules Moretuslei 510, 2610 Wilrijk";"4.4023923";"51.1727647";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_kdv_nounours.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039921"
"De Eerste Stapjes";"";"Doornstraat 271, 2610 Wilrijk";"4.3994740";"51.1610732";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039899"
"Klim-Op";"";"Volkerenlaan 38, 2610 Wilrijk";"4.3918239";"51.1535283";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039901"
