"straatnaam";"huisnummer";"postcode";"type_papiermand";"opmerking";"datum_uitvoering";"uniek_nummer_papiermand";"opdracht_aan";"dc_cc";"hokje";"fase";"historiek_type";"sector";"ledigen";"point_lng";"point_lat"
"WANDELDIJK";"28";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0006";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3911330250000447";"51.235501687000067"
"WANDELDIJK";"";"2050";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.3911330250000447";"51.235501687000067"
"WANDELDIJK";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0007";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3894799600000738";"51.235732692000056"
"WANDELDIJK";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0062";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3887742710000452";"51.235972792000041"
"WANDELDIJK";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0009";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3880692870000644";"51.235945386000026"
"WANDELDIJK";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0001";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3874215860000731";"51.235943070000076"
"VAN ERTBORNSTRAAT";"17";"2018";"05";"vroeger 1892";"2010-06-21T00:00:00";"2052";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4170729800000572";"51.218370776000029"
"VAN ERTBORNSTRAAT";"17";"2018";"05";" ";"2010-06-25T00:00:00";"1823";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4171390790000373";"51.218575630000032"
"VAN ERTBORNSTRAAT";"17";"2018";"05";" ";"2010-06-25T00:00:00";"1615";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4171044790000451";"51.218488960000059"
"FRANKRIJKLEI";"";"2060";"05";" ";"2010-08-03T00:00:00";"1679";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4162509630000386";"51.219268107000062"
"FRANKLIN ROOSEVELTPLAATS";"plein";"2060";"05";" ";"2010-07-29T00:00:00";"1867";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.41705819200007";"51.219336316000067"
"BREYDELSTRAAT";"26";"2018";"C";" ";"";"";"verwijderen";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4193208430000368";"51.218378889000064"
"OSYSTRAAT";"18";"2060";"05";" ";"2011-12-04T00:00:00";"1371";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.418323626000074";"51.222061475000032"
"ROTTERDAMSTRAAT";"41";"2060";"05";" ";"2009-12-04T00:00:00";"1345";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4189416720000736";"51.223731215000043"
"HOLLANDSTRAAT";"21";"2060";"05";" ";"2010-05-31T00:00:00";"1668";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4206203720000303";"51.22319643700007"
"HOLLANDSTRAAT";"21";"2060";"05";" ";"2010-05-31T00:00:00";"1666";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4209162100000299";"51.22349274000004"
"HOLLANDSTRAAT";"30";"2060";"05";"vroeger 1518";"2012-04-17T00:00:00";"9102";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4197454200000266";"51.223853060000067"
"SINT-GUMMARUSSTRAAT";"8";"2060";"05";" ";"2009-12-04T00:00:00";"1318";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4195445440000753";"51.224681357000065"
"ELLERMANSTRAAT";"90";"2060";"05";"vroeger 2064";"2012-04-17T00:00:00";"9082";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4199504220000563";"51.229888180000046"
"ELLERMANSTRAAT";"18";"2060";"05";"vroeger 1972";"2012-04-17T00:00:00";"9211";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4150261880000699";"51.22987855100007"
"OSYSTRAAT";"21";"2060";"05";" ";"2010-05-31T00:00:00";"1702";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.41803328900005";"51.220861487000036"
"OSYSTRAAT";"13";"2060";"C";" ";"";"";"verwijderen";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4177926540000385";"51.22064941800005"
"OSYSTRAAT";"3";"2060";"05";"vroeger 1876";"2012-04-19T00:00:00";"9274";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4176851360000455";"51.220359768000037"
"FRANKLIN ROOSEVELTPLAATS";"3";"2060";"05";" ";"2010-07-30T00:00:00";"1906";"geen opdracht";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4169916800000237";"51.220172329000036"
"FRANKLIN ROOSEVELTPLAATS";"7B";"2060";"05";" ";"2010-07-30T00:00:00";"1915";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4172215430000392";"51.220086726000034"
"FRANKLIN ROOSEVELTPLAATS";"3";"2060";"05";" ";"2010-07-30T00:00:00";"1955";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4169825560000504";"51.220124829000042"
"FRANKLIN ROOSEVELTPLAATS";"7B";"2060";"05";" ";"2010-07-30T00:00:00";"1879";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4172093790000417";"51.220035434000067"
"FRANKLIN ROOSEVELTPLAATS";"3";"2060";"05";" ";"2010-07-30T00:00:00";"1943";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4169703980000463";"51.220079236000061"
"FRANKLIN ROOSEVELTPLAATS";"plein";"2060";"05";" ";"2010-05-31T00:00:00";"0807";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4176292670000521";"51.21961019500003"
"LANGE LOBROEKSTRAAT";"138";"2060";"05";" ";"2009-12-04T00:00:00";"1368";"nieuw bijplaatsen";"nvt";"neen";"fase II";"";"midden";"stadsreiniging";"4.4307439150000505";"51.230678683000065"
"HERENTALSEBAAN";"683";"2100";"C";" ";"";"";"geen opdracht";"CC";"ja";"";"";"zuid";"stadsreiniging";"4.482661920000055";"51.203946634000033"
"FLORENT PAUWELSLEI";"2";"2100";"C";" ";"";"";"geen opdracht";"CC";"ja";"";"";"zuid";"stadsreiniging";"4.4713826650000215";"51.205841942000063"
"FLORENT PAUWELSLEI";"1";"2100";"C";" ";"";"";"geen opdracht";"CC";"ja";"";"";"zuid";"stadsreiniging";"4.4713932990000558";"51.206767753000065"
"HERENTALSEBAAN";"371";"2100";"05";" ";"2009-08-07T00:00:00";"0522";"vervangen";"nvt";"neen";"fase I";"B";"zuid";"stadsreiniging";"4.4685346890000233";"51.206342309000036"
"HERENTALSEBAAN";"140";"2100";"C";" ";"";"";"geen opdracht";"CC";"ja";"";"";"zuid";"stadsreiniging";"4.4592256730000486";"51.209485989000029"
"FRANKLIN ROOSEVELTPLAATS";"7B";"2060";"05";" ";"2010-07-30T00:00:00";"1882";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4172488250000583";"51.220141822000073"
"SCHIJNPOORTWEG";"35";"2060";"05";" ";"2010-08-13T00:00:00";"2007";"geen opdracht";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4394749190000766";"51.227640806000068"
"LANGE LOBROEKSTRAAT";"1A";"2060";"05";" ";"2010-05-27T00:00:00";"1754";"nieuw bijplaatsen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.435124801000029";"51.228406695000047"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4150031760000275";"51.21355593800007"
"STADSPARK";" ";"2018";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4149935720000713";"51.213737436000031"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4146099770000546";"51.213424936000081"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4145091710000202";"51.213099631000034"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4143630490000305";"51.212052735000043"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4130396570000698";"51.21239784200003"
"NOORDSCHIPPERSDOK";"plein";"2060";"05";" ";"2009-08-25T00:00:00";"0294";"vervangen";"nvt";"neen";"fase I";"04";"midden";"stadsreiniging";"4.4304409530000726";"51.233963677000077"
"NOORDSCHIPPERSDOK";"plein";"2060";"05";" ";"2009-08-25T00:00:00";"0414";"vervangen";"nvt";"neen";"fase I";"04";"midden";"stadsreiniging";"4.4299233580000532";"51.234170576000054"
"IJZERLAAN";" ";"2060";"05";" ";"2009-08-25T00:00:00";"0331";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4284475790000215";"51.235242281000069"
"CHARLES DE COSTERLAAN";"";"2050";"05";" ";"2012-03-23T00:00:00";"9059";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.379375580000044";"51.227775794000081"
"TIJL UILENSPIEGELLAAN";"40";"2050";"05";" ";"2009-10-05T00:00:00";"0876";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.3821970400000509";"51.229929125000069"
"AUGUST VERMEYLENLAAN";"23";"2050";"05";" ";"2012-03-22T00:00:00";"9341";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.378703147000067";"51.229280908000078"
"AUGUST VERMEYLENLAAN";"7";"2050";"05";" ";"2012-03-22T00:00:00";"9370";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3788141050000604";"51.23214491300007"
"ESMOREITLAAN";"";"2050";"05";" ";"2012-03-26T00:00:00";"9240";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3827803110000332";"51.233782433000044"
"ESMOREITLAAN";"";"2050";"05";" ";"2012-03-26T00:00:00";"9242";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3826665270000262";"51.233372848000045"
"ESMOREITLAAN";"1A";"2050";"C";" ";"2012-03-26T00:00:00";"9036";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3856398940000645";"51.233335576000059"
"GLORIANTLAAN";"3";"2050";"05";" ";"2009-10-05T00:00:00";"0817";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.3862506190000659";"51.234011864000081"
"GLORIANTLAAN";"21";"2050";"05";" ";"2009-10-05T00:00:00";"0775";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.3861834060000433";"51.232352534000029"
"GLORIANTLAAN";"24";"2050";"05";" ";"2012-03-27T00:00:00";"9100";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3861370270000748";"51.230867305000061"
"WILLEM VAN HAECHTLAAN";"";"2050";"05";"asbak";"2010-05-27T00:00:00";"1655";"nieuw bijplaatsen";"nvt";"neen";"fase III";"";"midden";"stadsreiniging";"4.3839644020000605";"51.229970095000056"
"WATERHOENLAAN";"10";"2050";"05";" ";"2009-09-01T00:00:00";"0596";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3821371360000398";"51.220718117000047"
"LODE ZIELENSLAAN";"";"2050";"05";" ";"2012-03-27T00:00:00";"9072";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3816005240000209";"51.221632141000043"
"ONDERWIJSSTRAAT";"";"2060";"05";" ";"2009-12-04T00:00:00";"1207";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4321288300000674";"51.224329066000053"
"ONDERWIJSSTRAAT";"";"2060";"05";" ";"2009-12-04T00:00:00";"1191";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4320515440000463";"51.224430047000055"
"LANGE STUIVENBERGSTRAAT";"86";"2060";"05";" ";"2010-08-13T00:00:00";"2096";"vervangen";"DC";"ja";"fase III";"01";"midden";"stadsreiniging";"4.4320448140000508";"51.224138971000059"
"LANGE STUIVENBERGSTRAAT";"88";"2060";"05";"vroeger 0806";"2010-08-13T00:00:00";"9381";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4321467760000246";"51.224057732000063"
"KORTE YPERMANSTRAAT";"4";"2060";"05";" ";"2009-12-04T00:00:00";"1152";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4320853570000622";"51.223935982000057"
"BOERHAAVESTRAAT";"tgo 18";"2060";"05";" ";"2010-05-28T00:00:00";"1729";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4328510860000279";"51.224050927000064"
"BOERHAAVESTRAAT";"to 18";"2060";"05";" ";"2010-05-28T00:00:00";"1730";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4330484910000223";"51.224089279000054"
"SCHOOLSTRAAT";"7";"2060";"05";" ";"2009-12-04T00:00:00";"0999";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4314843900000369";"51.224865699000077"
"HANDELSTRAAT";"115";"2060";"05";"vroeger 1256";"2009-12-04T00:00:00";"2022";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4315754260000517";"51.224258871000075"
"HANDELSTRAAT";"78";"2060";"05";" ";"2009-08-25T00:00:00";"0275";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4309422680000239";"51.224043428000073"
"HANDELSTRAAT";"53";"2060";"05";"vroeger 0170";"2012-04-17T00:00:00";"9359";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4294073510000658";"51.223753665000061"
"HANDELSTRAAT";"16";"2060";"05";" ";"2009-08-25T00:00:00";"0325";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4280513050000536";"51.223341288000029"
"SINT-ELISABETHSTRAAT";"";"2060";"05";" ";"2009-08-25T00:00:00";"0279";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4244507630000385";"51.222732029000042"
"SINT-ELISABETHSTRAAT";"";"2060";"05";" ";"2009-08-25T00:00:00";"0306";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4239846450000755";"51.222742931000028"
"DIEPESTRAAT";"42";"2060";"05";" ";"2009-08-25T00:00:00";"0498";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4231562570000733";"51.224251729000059"
"DIEPESTRAAT";"27";"2060";"05";" ";"2009-08-25T00:00:00";"0318";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4230270670000209";"51.224345799000048"
"DIEPESTRAAT";"69";"2060";"05";" ";"2009-08-25T00:00:00";"0427";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4245572240000683";"51.223546003000081"
"DIEPESTRAAT";"135";"2060";"05";" ";"2009-08-25T00:00:00";"0412";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4259711500000662";"51.222342431000072"
"LANGE BEELDEKENSSTRAAT";"103";"2060";"05";" ";"2009-12-04T00:00:00";"1170";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4265213640000525";"51.22157941100005"
"LANGE BEELDEKENSSTRAAT";"121";"2060";"05";" ";"2009-12-04T00:00:00";"1226";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4272969670000748";"51.221476473000052"
"LANGE BEELDEKENSSTRAAT";"137";"2060";"05";"vroeger 1203";"2010-02-09T00:00:00";"1418";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.427916074000052";"51.221392826000056"
"DUINSTRAAT";"15";"2060";"05";" ";"2009-12-04T00:00:00";"1171";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4269641750000233";"51.221978723000063"
"LANGE BEELDEKENSSTRAAT";"280";"2060";"05";" ";"2009-08-25T00:00:00";"0338";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4352663710000684";"51.222275510000031"
"LANGE BEELDEKENSSTRAAT";"308";"2060";"05";" ";"2012-04-17T00:00:00";"9177";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4360695850000411";"51.222450240000057"
"VELDSTRAAT";"100";"2060";"05";" ";"2010-05-28T00:00:00";"1753";"nieuw bijplaatsen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4334600380000211";"51.226919115000044"
"JOS VERHELSTPLEIN";"to 12";"2060";"C";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4328985380000745";"51.227284904000044"
"JOS VERHELSTPLEIN";"";"2060";"05";" ";"2009-08-25T00:00:00";"0422";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.43292948200002";"51.227515636000078"
"NIJVERHEIDSTRAAT";"29";"2060";"05";" ";"2009-12-14T00:00:00";"0729";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4281394250000403";"51.225697855000078"
"PIONIERSTRAAT";"4";"2060";"05";" ";"2009-12-04T00:00:00";"1420";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4274373070000479";"51.224779501000057"
"PIONIERSTRAAT";"4";"2060";"05";" ";"2009-12-04T00:00:00";"1091";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4276346850000436";"51.224798627000041"
"VAN KERCKHOVENSTRAAT";"91";"2060";"05";" ";"2009-12-14T00:00:00";"1382";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4267110360000288";"51.226258348000044"
"VAN KERCKHOVENSTRAAT";"91";"2060";"05";" ";"2009-12-14T00:00:00";"1383";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4266184370000587";"51.226374821000036"
"GASSTRAAT";"to naast 27";"2060";"05";" ";"2009-12-14T00:00:00";"1280";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4254657270000735";"51.226055235000047"
"VAN KERCKHOVENSTRAAT";"70";"2060";"05";"vroeger 1813";"2010-08-10T00:00:00";"9201";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.424971982000045";"51.226024188000054"
"SINT-AMANDUSSTRAAT";"";"2060";"C";" ";"2012-04-17T00:00:00";"9314";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4242165880000357";"51.226013874000046"
"STUIVENBERGPLEIN";"7";"2060";"05";"vroeger 2042";"2012-04-17T00:00:00";"2042";"vervangen";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4284914540000386";"51.226889866000079"
"STUIVENBERGPLEIN";"7";"2060";"05";"vroeger 2056";"2012-04-17T00:00:00";"9399";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4286139070000559";"51.226847072000055"
"HALENSTRAAT";"25";"2060";"05";"vroeger 2027";"2012-04-17T00:00:00";"9362";"vervangen";"CC";"ja";"fase III";"";"midden";"stadsreiniging";"4.4360388720000401";"51.22701819200006"
"MONTIGNYSTRAAT";"171";"2018";"C";" ";"";"";"geen opdracht";"DC";"ja";"";"C";"midden";"stadsreiniging";"4.3908574720000502";"51.199211458000036"
"MONTIGNYSTRAAT";"207";"2018";"05";" ";"2009-11-02T00:00:00";"1101";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.3915883240000539";"51.200729077000062"
"MARKGRAVELEI";"96";"2018";"05";"vroeger 1925";"2012-04-12T00:00:00";"9611";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4028790640000466";"51.198426057000063"
"MARKGRAVELEI";"92";"2018";"05";"vroeger 1954";"2012-04-12T00:00:00";"9541";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4027825970000549";"51.198559547000059"
"JAN VAN RIJSWIJCKLAAN";"88";"2018";"05";" ";"2010-07-12T00:00:00";"0404";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4058612800000674";"51.196726492000039"
"JAN VAN RIJSWIJCKLAAN";"151";"2018";"05";"vroeger 1636";"2010-07-13T00:00:00";"9445";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4032930930000589";"51.194814315000031"
"JAN VAN RIJSWIJCKLAAN";"63";"2018";"05";" ";"2009-11-02T00:00:00";"1049";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4066162140000529";"51.196962839000037"
"JAN VAN RIJSWIJCKLAAN";"29";"2018";"C";"verdwenen halte";"";"";"geen opdracht";"DC";"ja";"";"C";"midden";"stadsreiniging";"4.4083484120000662";"51.197718553000072"
"JAN VAN RIJSWIJCKLAAN";"16";"2018";"C";"verdwenen halte";"";"";"geen opdracht";"DC";"ja";"";"C";"midden";"stadsreiniging";"4.4094976780000366";"51.197997206000082"
"JAN VAN RIJSWIJCKLAAN";"28";"2018";"C";"verdwenen halte";"";"";"geen opdracht";"DC";"ja";"";"C";"midden";"stadsreiniging";"4.4090888690000725";"51.197940732000063"
"JAN VAN RIJSWIJCKLAAN";"22";"2018";"C";"verdwenen halte";"";"";"geen opdracht";"DC";"ja";"";"C";"midden";"stadsreiniging";"4.4094589710000491";"51.197908243000029"
"GENERAAL LEMANSTRAAT";"6";"2018";"05";"vroeger 1441";"2012-04-12T00:00:00";"9597";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4104270390000693";"51.197123290000036"
"KORTE LOZANASTRAAT";"34";"2018";"05";" ";"2010-07-12T00:00:00";"1617";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4082731960000388";"51.19635158300008"
"KORTE LOZANASTRAAT";"28";"2018";"05";"vroeger 1183";"2012-04-12T00:00:00";"9557";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4083891930000618";"51.196505228000035"
"LANGE LOZANASTRAAT";"249";"2018";"05";"vroeger 1818";"2012-04-12T00:00:00";"9328";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4076569230000473";"51.198301171000026"
"LANGE LOZANASTRAAT";"231";"2018";"05";"vroeger 1815";"2012-04-12T00:00:00";"9408";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4073355400000764";"51.198847267000076"
"LANGE LOZANASTRAAT";"200";"2018";"05";"vroeger 0074";"2012-04-12T00:00:00";"9603";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.40634904500007";"51.200784845000044"
"LANGE LOZANASTRAAT";"153";"2018";"05";"vroeger 1805";"2012-04-12T00:00:00";"9590";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4061565950000272";"51.201607938000052"
"DURLETSTRAAT";"8-10";"2018";"05";" ";"2009-11-02T00:00:00";"1020";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4047118360000468";"51.202198872000054"
"DURLETSTRAAT";"8-10";"2018";"05";" ";"2009-11-02T00:00:00";"1025";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4044541990000425";"51.202035156000079"
"GROTESTEENWEG";"125";"2600";"05";" ";"2012-03-28T00:00:00";"";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4189899800000489";"51.195266694000054"
"GROTESTEENWEG";"214";"2600";"05";" ";"2012-03-28T00:00:00";"9106";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.421855871000048";"51.192809124000064"
"GROTESTEENWEG";"214";"2600";"05";" ";"2012-03-28T00:00:00";"9010";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4217311460000701";"51.192917520000037"
"GROTESTEENWEG";"214";"2600";"05";" ";"2012-03-28T00:00:00";"9185";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4217725450000671";"51.192734450000046"
"GROTESTEENWEG";"204";"2600";"05";" ";"2012-03-28T00:00:00";"9307";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4208611350000524";"51.193769684000074"
"HOGEWEG";"";"2600";"05";" ";"2009-11-18T00:00:00";"1201";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4190707710000652";"51.195752316000039"
"VICTOR JACOBSLEI";"63";"2600";"05";" ";"2009-08-11T00:00:00";"0417";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.426073342000052";"51.196835049000072"
"VICTOR JACOBSLEI";"";"2600";"01";" ";"";"";"vervangen";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4251737650000678";"51.197916994000082"
"VICTOR JACOBSLEI";"1";"2600";"05";" ";"2009-08-11T00:00:00";"0364";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4245001800000523";"51.198627780000038"
"VICTOR JACOBSLEI";"13";"2600";"05";" ";"2009-08-11T00:00:00";"0537";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4247816570000396";"51.198311420000039"
"VICTOR JACOBSLEI";"19";"2600";"05";" ";"2009-08-11T00:00:00";"0311";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4249056340000266";"51.198170106000077"
"STATIESTRAAT";"59";"2600";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4256990250000285";"51.198025309000059"
"STATIESTRAAT";"150";"2600";"05";" ";"2010-08-31T00:00:00";"1794";"nieuw bijplaatsen";"nvt";"neen";"fase III";"";"midden";"stadsreiniging";"4.4302461970000309";"51.199676861000057"
"UITBREIDINGSTRAAT";"";"2600";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4317617320000409";"51.200041814000031"
"UITBREIDINGSTRAAT";"";"2600";"01";" ";"";"";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4314194510000675";"51.200029353000048"
"BURGEMEESTER E. RYCKAERTSPLEIN";"plein";"2600";"05";" ";"2009-11-18T00:00:00";"1365";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4327078060000531";"51.200554582000052"
"UITBREIDINGSTRAAT";"480";"2600";"05";" ";"2009-11-18T00:00:00";"1017";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4330210690000627";"51.201060415000029"
"GULDENVLIESSTRAAT";"plein";"2600";"05";" ";"2012-03-30T00:00:00";"9545";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4342680160000327";"51.201641532000053"
"GULDENVLIESSTRAAT";"plein";"2600";"05";" ";"2012-03-30T00:00:00";"9421";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4343558970000458";"51.20157468900004"
"GULDENVLIESSTRAAT";"plein";"2600";"05";" ";"2012-03-30T00:00:00";"9516";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4343452790000697";"51.201483354000061"
